AS_Device,Comment
D1,出料轴当前坐标
D2,
D3,入料轴当前坐标
D4,
D5,翻转轴当前坐标
D6,
D7,贴胶轴当前坐标
D8,
D9,搬产品轴当前坐标
D10,
D11,旋转轴当前坐标
,
